"","drug","SYMBOL","logFC"
"Kdm6a","Bevacizumab","Kdm6a",-0.153587741804351
"Msantd2","Bevacizumab","Msantd2",0.176313613678463
"Gm9003","Bevacizumab","Gm9003",-0.171849064881066
"Irx2","Bevacizumab","Irx2",0.179886701241201
"4930549G23Rik","Bevacizumab","4930549G23Rik",0.209371242728401
"Tgfb1i1","Bevacizumab","Tgfb1i1",-0.169079681951703
"Gm11993","Bevacizumab","Gm11993",-0.154217062778844
"Mbd4","Bevacizumab","Mbd4",0.159378369499375
"Gclc","Bevacizumab","Gclc",0.183157509218913
"Gm12359","Bevacizumab","Gm12359",0.158404793168641
"Tmtc3","Bevacizumab","Tmtc3",-0.155985006112888
"Gm44808","Bevacizumab","Gm44808",-0.174591606750092
"Rps15a","Bevacizumab","Rps15a",0.154302986300735
"Gm1943","Bevacizumab","Gm1943",-0.17663677757631
"Mamdc4","Bevacizumab","Mamdc4",0.162026360754616
"Rpl35a-ps4","Bevacizumab","Rpl35a-ps4",0.173883091173923
"Pm20d2","Bevacizumab","Pm20d2",-0.164509161307883
"Gm27209","Bevacizumab","Gm27209",0.204393640510574
"Eif4ebp3","Bevacizumab","Eif4ebp3",0.183739504822651
"Kdm6bos","Bevacizumab","Kdm6bos",0.17765111452903
"Gm18888","Bevacizumab","Gm18888",0.179357503805324
"Gm42732","Bevacizumab","Gm42732",0.179564804213139
"Gm16053","Bevacizumab","Gm16053",-0.216887791692763
"Tmem52b","Bevacizumab","Tmem52b",-0.171594139404507
"Gm15519","Bevacizumab","Gm15519",-0.153727846107558
"Dbt","Bevacizumab","Dbt",-0.160371296034162
"Kdm2b","Bevacizumab","Kdm2b",-0.155762500543604
"Gm49483","Bevacizumab","Gm49483",-0.157204865088779
"Gm51440","Bevacizumab","Gm51440",-0.197031925994794
"Gm12922","Bevacizumab","Gm12922",0.193133037672396
"Ncam1","Bevacizumab","Ncam1",-0.152852584289489
"Gm15727","Bevacizumab","Gm15727",-0.154806471221622
"Lpo","Bevacizumab","Lpo",0.170177970006262
"Nipa2","Bevacizumab","Nipa2",-0.164355335642153
"Sema7a","Bevacizumab","Sema7a",-0.157606661756485
"Gm17181","Bevacizumab","Gm17181",0.195701630606465
"Erdr1x","Bevacizumab","Erdr1x",0.191165509896718
"Clk2","Bevacizumab","Clk2",0.156855987530061
"Gm29856","Bevacizumab","Gm29856",0.155649574879741
"Deptor","Bevacizumab","Deptor",-0.160546778544417
"Stfa2l1","Bevacizumab","Stfa2l1",-0.18631255876194
"Gm10522","Bevacizumab","Gm10522",0.163693307159607
"Nab2","Bevacizumab","Nab2",-0.152124500862681
"Acr","Bevacizumab","Acr",0.151584733275872
"Gm11421","Bevacizumab","Gm11421",0.160938452685209
"Ccdc126","Bevacizumab","Ccdc126",-0.158488578939351
"Gm8226","Bevacizumab","Gm8226",0.184134591497169
"Kitl","Bevacizumab","Kitl",-0.151762670490861
"Slc35g1","Bevacizumab","Slc35g1",0.151363806573862
"Gm3362","Bevacizumab","Gm3362",-0.163225378449464
"H2-K2","Bevacizumab","H2-K2",-0.158639252274778
"1700015O11Rik","Bevacizumab","1700015O11Rik",-0.221386450608273
"Slc14a2","Bevacizumab","Slc14a2",0.256369832337112
"4930422M22Rik","Bevacizumab","4930422M22Rik",0.150691108977628
"Metap1d","Bevacizumab","Metap1d",0.152576522116697
"Gm54396","Bevacizumab","Gm54396",0.178606829056738
"Mtpn","Bevacizumab","Mtpn",-0.1517076455936
"Acot1","Bevacizumab","Acot1",0.198257011473042
"Rapgefl1","Bevacizumab","Rapgefl1",0.156759573174991
"Txn-ps1","Bevacizumab","Txn-ps1",0.190241161086727
"Ro60","Bevacizumab","Ro60",-0.157888806286198
"Mir7016","Bevacizumab","Mir7016",-0.229315679317064
"Gm27216","Bevacizumab","Gm27216",0.15523872776948
"Gm13470","Bevacizumab","Gm13470",-0.168520406884003
"Pitx2","Bevacizumab","Pitx2",0.154938312179371
"Gm56696","Bevacizumab","Gm56696",-0.150843607931462
"Gm44710","Bevacizumab","Gm44710",0.160934922928969
"Rdm1","Bevacizumab","Rdm1",-0.150744639504923
"Gm23645","Bevacizumab","Gm23645",0.220125362429746
"Nexn","Bevacizumab","Nexn",0.153833579123849
"Fam78a","Bevacizumab","Fam78a",-0.149840843347195
"Gm14376","Bevacizumab","Gm14376",-0.157854791490981
"Gsto2","Bevacizumab","Gsto2",0.157640049834806
"Cyp4f18","Bevacizumab","Cyp4f18",0.15719046839012
"Ankrd10","Bevacizumab","Ankrd10",0.152761877186381
"Smim29","Bevacizumab","Smim29",0.151522562220132
"Btg2","Bevacizumab","Btg2",-0.20441917195688
"Pabpc1l","Bevacizumab","Pabpc1l",0.157349681326167
"Gm30693","Bevacizumab","Gm30693",-0.153371964596052
"Gm14567","Bevacizumab","Gm14567",-0.221290509906513
"Mndal","Bevacizumab","Mndal",0.158610175919828
"Snhg14","Bevacizumab","Snhg14",0.16932434523958
"Slmap","Bevacizumab","Slmap",-0.150677291061814
"Gm57456","Bevacizumab","Gm57456",0.164372985961638
"Gm44040","Bevacizumab","Gm44040",0.148993141443283
"Triqk","Bevacizumab","Triqk",-0.154604369900701
"Spa17","Bevacizumab","Spa17",0.149011454280416
"Dmrt2","Bevacizumab","Dmrt2",-0.167665451013778
"Chrne","Bevacizumab","Chrne",-0.187033492475018
"Tagln3","Bevacizumab","Tagln3",-0.19257581282569
"1700029K24Rik","Bevacizumab","1700029K24Rik",-0.172127422648608
"Endou","Bevacizumab","Endou",0.165334708168814
"Ddx3y","Bevacizumab","Ddx3y",-0.154828386938732
"Gm11942","Bevacizumab","Gm11942",0.202478708409505
"Zc3h7a","Bevacizumab","Zc3h7a",0.16013519995121
"Gm40709","Bevacizumab","Gm40709",-0.173115321780793
"Gsdmc3","Bevacizumab","Gsdmc3",-0.20626802504623
"Slc8a1","Bevacizumab","Slc8a1",-0.190224584211249
"Nt5dc1","Bevacizumab","Nt5dc1",-0.153121677870189
"Fam166b","Bevacizumab","Fam166b",0.150895939709535
"Prss27","Bevacizumab","Prss27",0.154020291316029
"Ints2","Bevacizumab","Ints2",-0.160962926679354
"Gm48449","Bevacizumab","Gm48449",0.166367078929259
"Gm52956","Bevacizumab","Gm52956",0.164156188336167
"Nkg7","Bevacizumab","Nkg7",-0.178414284989885
"Trf","Bevacizumab","Trf",0.220202320972541
"Apcs","Bevacizumab","Apcs",-0.169111546351123
"Tnfsf13os","Bevacizumab","Tnfsf13os",0.150273288641773
"Pdgfc","Bevacizumab","Pdgfc",-0.166918859567638
"Slc4a3","Bevacizumab","Slc4a3",0.163393835702426
"Hexa","Bevacizumab","Hexa",-0.147908220397745
"Gm27825","Bevacizumab","Gm27825",0.14695954000031
"Gm10335","Bevacizumab","Gm10335",0.190845264330607
"Gm56536","Bevacizumab","Gm56536",-0.171001459118437
"Gm49785","Bevacizumab","Gm49785",0.150672555506314
"Gm17120","Bevacizumab","Gm17120",-0.153817982976187
"Gm12112","Bevacizumab","Gm12112",0.212945809918671
"Stag2","Bevacizumab","Stag2",-0.149784110801556
"Gm17096","Bevacizumab","Gm17096",-0.167601646487969
"Rps12-ps9","Bevacizumab","Rps12-ps9",-0.165748217584276
"Niban3","Bevacizumab","Niban3",-0.164825217435841
"Pde4d","Bevacizumab","Pde4d",-0.164688945244846
"Ahr","Bevacizumab","Ahr",0.150109343130169
"Retn","Bevacizumab","Retn",0.427679574083834
"Gm11510","Bevacizumab","Gm11510",-0.186349447391832
"Gm36787","Bevacizumab","Gm36787",0.152133914775317
"B230303O12Rik","Bevacizumab","B230303O12Rik",0.146556718716799
"Kmt2e","Bevacizumab","Kmt2e",-0.154606730178699
"Trp53tg5","Bevacizumab","Trp53tg5",0.146883232326143
"Uhrf1","Bevacizumab","Uhrf1",-0.15088594419477
"Hba-a1","Bevacizumab","Hba-a1",-0.173010042459823
"Rpl14-ps1","Bevacizumab","Rpl14-ps1",0.147106347422966
"Slc25a13","Bevacizumab","Slc25a13",-0.157233783178161
"Tmem167b","Bevacizumab","Tmem167b",-0.155058752446953
"Catsper3","Bevacizumab","Catsper3",0.196437875050097
"Mfsd1","Bevacizumab","Mfsd1",-0.150957659516932
"2010203P06Rik","Bevacizumab","2010203P06Rik",-0.156386677657903
"Ugt2b38","Bevacizumab","Ugt2b38",-0.15745107975778
"Gm24095","Bevacizumab","Gm24095",0.155665612254146
"Gm15718","Bevacizumab","Gm15718",0.182487261225258
"Hnf4g","Bevacizumab","Hnf4g",-0.155523051262919
"Gm26254","Bevacizumab","Gm26254",-0.207972440368949
"Upp2","Bevacizumab","Upp2",0.153347718520318
"Gm15590","Bevacizumab","Gm15590",0.186464568993914
"Tonsl","Bevacizumab","Tonsl",-0.144635407036841
"Slc4a9","Bevacizumab","Slc4a9",0.161388583409991
"Fbln7","Bevacizumab","Fbln7",-0.147114310047671
"Cep85","Bevacizumab","Cep85",0.177871838432053
"AI480526","Bevacizumab","AI480526",0.147822190346675
"Eea1","Bevacizumab","Eea1",-0.144281166976103
"Gm17530","Bevacizumab","Gm17530",0.144757844048943
"Defb1","Bevacizumab","Defb1",0.14528360720275
"Glud-ps","Bevacizumab","Glud-ps",-0.163795632943133
"Gm26873","Bevacizumab","Gm26873",0.146091866803312
"Col4a4","Bevacizumab","Col4a4",-0.143912341352668
"Cstad","Bevacizumab","Cstad",0.146030580737465
"Rbakdn","Bevacizumab","Rbakdn",0.152920969283654
"Fut9","Bevacizumab","Fut9",-0.148203100136284
"A4gnt","Bevacizumab","A4gnt",0.21049899576774
"Gm43039","Bevacizumab","Gm43039",0.151333205193004
"Gm17116","Bevacizumab","Gm17116",0.154591736104125
"Mpv17l","Bevacizumab","Mpv17l",0.155269858140334
"Mreg","Bevacizumab","Mreg",0.163354272464113
"Lad1","Bevacizumab","Lad1",-0.166724756877472
"Gm10819","Bevacizumab","Gm10819",-0.156193060090297
"Clec3b","Bevacizumab","Clec3b",-0.22299129738471
"Gm16322","Bevacizumab","Gm16322",0.183695028977755
"Ak4","Bevacizumab","Ak4",-0.14503104249643
"Gm12721","Bevacizumab","Gm12721",-0.151398427181242
"Asb11","Bevacizumab","Asb11",0.156708734761652
"Gm49326","Bevacizumab","Gm49326",-0.183409066681707
"Gm19418","Bevacizumab","Gm19418",-0.198866030289714
"Gm22513","Bevacizumab","Gm22513",-0.151165044963571
"Gm16096","Bevacizumab","Gm16096",-0.148630554573717
"Prpf40a","Bevacizumab","Prpf40a",-0.143473950004504
"Erich6","Bevacizumab","Erich6",0.151999479344685
"Clca3a2","Bevacizumab","Clca3a2",0.158437376269173
"Tmed7","Bevacizumab","Tmed7",-0.142662225835779
"Gm50163","Bevacizumab","Gm50163",0.153710206500084
"Gm5905","Bevacizumab","Gm5905",0.161463464526925
"Tat","Bevacizumab","Tat",0.155025503743555
"Asb5","Bevacizumab","Asb5",0.149396551080895
"Gm44243","Bevacizumab","Gm44243",0.184834292242558
"Gm8738","Bevacizumab","Gm8738",0.1544361749977
"8430422M14Rik","Bevacizumab","8430422M14Rik",0.153368037494601
"Twsg1","Bevacizumab","Twsg1",-0.14720939993162
"Gm56519","Bevacizumab","Gm56519",0.159556202364015
"Mtrf1","Bevacizumab","Mtrf1",-0.15224617587596
"Lor","Bevacizumab","Lor",0.16320428013789
"Jag1","Bevacizumab","Jag1",-0.154395569654459
"Ntn4","Bevacizumab","Ntn4",-0.173418610921666
"AA465934","Bevacizumab","AA465934",0.149951978344355
"Cyp24a1","Bevacizumab","Cyp24a1",0.24593265025309
"Rpl9-ps4","Bevacizumab","Rpl9-ps4",-0.156738790575858
"Gm22301","Bevacizumab","Gm22301",-0.156861900597287
"Gm12191","Bevacizumab","Gm12191",0.155389563967103
"Ighv1-26","Bevacizumab","Ighv1-26",0.156010185690099
"Tmf1","Bevacizumab","Tmf1",-0.143052394921202
"Robo3","Bevacizumab","Robo3",-0.144348288273466
"Tomm20","Bevacizumab","Tomm20",-0.141480236316734
"Tpm2","Bevacizumab","Tpm2",0.16208409087461
"Rps5","Bevacizumab","Rps5",0.141178138126708
"Sox18","Bevacizumab","Sox18",-0.152456706410189
"Gm2058","Bevacizumab","Gm2058",-0.179709916738656
"Lratd2","Bevacizumab","Lratd2",-0.15271641675905
"Gm6614","Bevacizumab","Gm6614",0.145529671878965
"Tbce","Bevacizumab","Tbce",0.142932691387464
"C1galt1","Bevacizumab","C1galt1",-0.148514771924274
"Gm15523","Bevacizumab","Gm15523",-0.221621015443153
"Cyp2c69","Bevacizumab","Cyp2c69",0.165914702091046
"Pan2","Bevacizumab","Pan2",0.140261695314033
"Gm28529","Bevacizumab","Gm28529",0.140573688025744
"Gm42109","Bevacizumab","Gm42109",0.167929312564016
"Plekhg1","Bevacizumab","Plekhg1",-0.141835958941272
"Gm3650","Bevacizumab","Gm3650",0.203216031352267
"Itih2","Bevacizumab","Itih2",0.190916595416807
"Gm19426","Bevacizumab","Gm19426",-0.145263715891155
"Mylip","Bevacizumab","Mylip",0.157198214447797
"Actn2","Bevacizumab","Actn2",-0.14245374151927
"Gm11560","Bevacizumab","Gm11560",-0.144061665524799
"Gm39858","Bevacizumab","Gm39858",-0.15219096761027
"Clec4a1","Bevacizumab","Clec4a1",-0.164248398095383
"Epha4","Bevacizumab","Epha4",-0.158047923973157
"Adgrg4","Bevacizumab","Adgrg4",0.142308078630549
"Hnrnph3","Bevacizumab","Hnrnph3",0.140511974699988
"Apela","Bevacizumab","Apela",0.152489050000924
"Gm47889","Bevacizumab","Gm47889",0.143942334798695
"Dcdc2a","Bevacizumab","Dcdc2a",-0.14320908747101
"Tbc1d22bos","Bevacizumab","Tbc1d22bos",-0.142345362355544
"Dram1","Bevacizumab","Dram1",-0.139742288914913
"Garin5a","Bevacizumab","Garin5a",0.147818780323967
"Akap8l","Bevacizumab","Akap8l",0.146211017465258
"Srp54b","Bevacizumab","Srp54b",0.267623688896597
"Pced1b","Bevacizumab","Pced1b",0.139610002145329
"Gm47122","Bevacizumab","Gm47122",0.162845773668674
"Acta2","Bevacizumab","Acta2",0.156864327532627
"Phlda3","Bevacizumab","Phlda3",0.187305854283735
"Gm28523","Bevacizumab","Gm28523",-0.1407080760022
"Gm8971","Bevacizumab","Gm8971",0.147866032576919
"Ppp1cb","Bevacizumab","Ppp1cb",-0.143199687555446
"Gm56415","Bevacizumab","Gm56415",0.182239761253732
"Myadml2os","Bevacizumab","Myadml2os",0.220745664975882
"Gm37421","Bevacizumab","Gm37421",-0.157673288099707
"Gm49888","Bevacizumab","Gm49888",-0.172274220487388
"2010003K11Rik","Bevacizumab","2010003K11Rik",0.142617379550046
"Gm54761","Bevacizumab","Gm54761",0.1485920364485
"Jund","Bevacizumab","Jund",0.137795011077696
"Far1","Bevacizumab","Far1",-0.14447142183259
"Ythdc2","Bevacizumab","Ythdc2",-0.150047512953407
"Enho","Bevacizumab","Enho",0.138642371713542
"Rps14","Bevacizumab","Rps14",0.138955366246309
"Hnf1aos2","Bevacizumab","Hnf1aos2",-0.221393470050069
"Gm23966","Bevacizumab","Gm23966",-0.195334618307192
"B230219D22Rik","Bevacizumab","B230219D22Rik",-0.1395095895701
"Apoe","Bevacizumab","Apoe",0.151692335713736
"Ranbp3l","Bevacizumab","Ranbp3l",-0.159404855616168
"Omd","Bevacizumab","Omd",-0.143275631021192
"Gm11466","Bevacizumab","Gm11466",0.170564555412084
"Rpl28-ps1","Bevacizumab","Rpl28-ps1",0.138325585780841
"Cel","Bevacizumab","Cel",0.16265715965597
"Gm53019","Bevacizumab","Gm53019",0.142744167646055
"Orc1","Bevacizumab","Orc1",0.16177093717995
"Acss1","Bevacizumab","Acss1",-0.15577496938599
"Gm45900","Bevacizumab","Gm45900",0.139285000610262
"Dnhd1","Bevacizumab","Dnhd1",0.13588496064601
"Gm49528","Bevacizumab","Gm49528",0.146644594699808
"Fap","Bevacizumab","Fap",-0.145945747182349
"Npas1","Bevacizumab","Npas1",0.139735348441836
"Pantr1","Bevacizumab","Pantr1",0.136706444763779
"Atf1","Bevacizumab","Atf1",-0.136008561766895
"Ephb6","Bevacizumab","Ephb6",-0.140860774842948
"B130024G19Rik","Bevacizumab","B130024G19Rik",0.135768289723799
"Gm4294","Bevacizumab","Gm4294",0.138679213221952
"Gm20681","Bevacizumab","Gm20681",0.146734432292692
"Cldn1","Bevacizumab","Cldn1",-0.142038283492472
"Gm56768","Bevacizumab","Gm56768",0.140920472011804
"Zbtb41","Bevacizumab","Zbtb41",-0.149011672497579
"Tspyl2","Bevacizumab","Tspyl2",0.137070143539705
"Snhg11","Bevacizumab","Snhg11",0.160055295008181
"1110003F10Rik","Bevacizumab","1110003F10Rik",0.141111134392186
"Ces1h","Bevacizumab","Ces1h",-0.168996909710394
"Mbd1","Bevacizumab","Mbd1",0.140228994003614
"Cpne7","Bevacizumab","Cpne7",0.137342940678241
"Gm3235","Bevacizumab","Gm3235",-0.159297136131328
"Tspan2","Bevacizumab","Tspan2",-0.139741120228007
"2610318M16Rik","Bevacizumab","2610318M16Rik",0.144917155527649
"Spaca6","Bevacizumab","Spaca6",0.140343686901276
"Ublcp1","Bevacizumab","Ublcp1",0.134047443324746
"Gm23864","Bevacizumab","Gm23864",-0.175553177382405
"Gm43110","Bevacizumab","Gm43110",-0.14243864134909
"Gm1141","Bevacizumab","Gm1141",-0.144209227212239
"Plod2","Bevacizumab","Plod2",-0.143774951625958
"Gm16199","Bevacizumab","Gm16199",-0.152176078719517
"Gm53021","Bevacizumab","Gm53021",-0.198200958514747
"Ppp1r3c","Bevacizumab","Ppp1r3c",0.146356652604039
"Hnrnph1","Bevacizumab","Hnrnph1",0.152193153607964
"Nr4a3","Bevacizumab","Nr4a3",-0.186648516721421
"Cck","Bevacizumab","Cck",-0.207971129969402
"Rrm2b","Bevacizumab","Rrm2b",-0.136185098105625
"Gssos2","Bevacizumab","Gssos2",-0.148118506526013
"Sec61a2","Bevacizumab","Sec61a2",0.14023024691709
"Gm5854","Bevacizumab","Gm5854",0.171772667601229
"Trappc14","Bevacizumab","Trappc14",0.13735397189322
"Gm57035","Bevacizumab","Gm57035",0.19642835259023
"Kcnt1","Bevacizumab","Kcnt1",0.223716608063089
"Bmal1","Bevacizumab","Bmal1",-0.13336268043804
"Agrp","Bevacizumab","Agrp",-0.134649964721844
"Nol11","Bevacizumab","Nol11",-0.142785926973119
"Alox15","Bevacizumab","Alox15",0.150706302021927
"Gm57094","Bevacizumab","Gm57094",0.142868928640199
"Cnot6l","Bevacizumab","Cnot6l",-0.133515292833928
"Aox1","Bevacizumab","Aox1",0.144460969226584
"Flvcr1","Bevacizumab","Flvcr1",0.149559072201787
"Atoh8","Bevacizumab","Atoh8",0.144157420354211
"Gm14439","Bevacizumab","Gm14439",0.138735330597482
"Nicn1","Bevacizumab","Nicn1",-0.136374778403838
"Tsnaxip1","Bevacizumab","Tsnaxip1",0.141451786326068
"Bloc1s1","Bevacizumab","Bloc1s1",-0.155378020951246
"7330423F06Rik","Bevacizumab","7330423F06Rik",-0.153372661657407
"Mir687","Bevacizumab","Mir687",0.154944689897344
"Hkdc1","Bevacizumab","Hkdc1",-0.133007862481358
"4930461G14Rik","Bevacizumab","4930461G14Rik",0.134187166246451
"Gm19248","Bevacizumab","Gm19248",-0.175245195935087
"Gm17538","Bevacizumab","Gm17538",0.139366506765286
"Gm8138","Bevacizumab","Gm8138",-0.158991992777587
"Gstp3","Bevacizumab","Gstp3",0.157552907319771
"1700018A23Rik","Bevacizumab","1700018A23Rik",-0.160933707114826
"Defa21","Bevacizumab","Defa21",0.13408611238275
"Gpihbp1","Bevacizumab","Gpihbp1",-0.154275647433449
"Gm20305","Bevacizumab","Gm20305",-0.139940279337687
"Sfn","Bevacizumab","Sfn",-0.136475285601596
"Gm12353","Bevacizumab","Gm12353",0.146660624406746
"Gm20404","Bevacizumab","Gm20404",-0.142065240403519
"Timp1","Bevacizumab","Timp1",-0.1835521571615
"Nt5e","Bevacizumab","Nt5e",-0.145192320040137
"Gm12993","Bevacizumab","Gm12993",-0.162774900593791
"Drc1","Bevacizumab","Drc1",0.143276725559878
"Zfp296","Bevacizumab","Zfp296",-0.141652200055565
"Mir343","Bevacizumab","Mir343",0.153180345978122
"Gm45225","Bevacizumab","Gm45225",-0.153168253622204
"Rsph10b","Bevacizumab","Rsph10b",-0.148228133937317
"Uncx","Bevacizumab","Uncx",0.146831792241982
"Ifi203","Bevacizumab","Ifi203",0.133214671134453
"Slc12a1","Bevacizumab","Slc12a1",0.22508972027706
"Klc3","Bevacizumab","Klc3",-0.135437996848635
"Gm45246","Bevacizumab","Gm45246",-0.137569864919052
"Gm34376","Bevacizumab","Gm34376",0.132465303165003
"Gm15526","Bevacizumab","Gm15526",-0.166297301934074
"Cyp4a14","Bevacizumab","Cyp4a14",0.371211010929179
"Gm5503","Bevacizumab","Gm5503",0.131714003396592
"Angpt2","Bevacizumab","Angpt2",-0.146002921933178
"Gm48824","Bevacizumab","Gm48824",-0.140921475284337
"Cyp4a10","Bevacizumab","Cyp4a10",0.159433610984936
"Slc1a5","Bevacizumab","Slc1a5",0.152005136938873
"Gm8399","Bevacizumab","Gm8399",-0.132757472252194
"Snora57","Bevacizumab","Snora57",0.156928234889364
"A930019D19Rik","Bevacizumab","A930019D19Rik",-0.130025739235581
"Gm20493","Bevacizumab","Gm20493",0.135210532324944
"Ldhb-ps","Bevacizumab","Ldhb-ps",0.162840777610736
"Gm20442","Bevacizumab","Gm20442",0.129848438192471
"Gm10154","Bevacizumab","Gm10154",0.177351220393928
"Ccl19","Bevacizumab","Ccl19",0.161709487730466
"Il34","Bevacizumab","Il34",-0.142100554065269
"Gm22661","Bevacizumab","Gm22661",0.179492076120906
"Igkv8-30","Bevacizumab","Igkv8-30",0.133332357559595
"Gm27028","Bevacizumab","Gm27028",0.1482412537662
"4732440D04Rik","Bevacizumab","4732440D04Rik",0.130254719229032
"Eef1akmt3","Bevacizumab","Eef1akmt3",0.136880203470471
"Gm12868","Bevacizumab","Gm12868",-0.129687925396045
"Gm15427","Bevacizumab","Gm15427",0.128623783419089
"Leap2","Bevacizumab","Leap2",-0.15607781513494
"Gm33756","Bevacizumab","Gm33756",0.15091957898886
"Pam16l","Bevacizumab","Pam16l",0.143169394570293
"Gm2628","Bevacizumab","Gm2628",-0.134231993264083
"Lypla1","Bevacizumab","Lypla1",0.138402745257306
"Lrrn4cl","Bevacizumab","Lrrn4cl",-0.13079358500318
"Gm29797","Bevacizumab","Gm29797",-0.140183272689691
"Ttc14","Bevacizumab","Ttc14",0.129739611653165
"Snord15a","Bevacizumab","Snord15a",0.137064339898894
"Trpm6","Bevacizumab","Trpm6",0.127703819626278
"Gm57086","Bevacizumab","Gm57086",-0.131600721954171
"Mrln","Bevacizumab","Mrln",-0.144053627376823
"Pde4c","Bevacizumab","Pde4c",0.131412779110103
"Gm34961","Bevacizumab","Gm34961",0.138810656480492
"Gm5879","Bevacizumab","Gm5879",-0.13035054138434
"Panct2","Bevacizumab","Panct2",0.13841235149204
"Gad1os","Bevacizumab","Gad1os",0.142060110525143
"Gm33373","Bevacizumab","Gm33373",0.13755310162377
"E230016M11Rik","Bevacizumab","E230016M11Rik",0.141624405802991
"Lypd2","Bevacizumab","Lypd2",-0.15223450082882
"Dnajc17","Bevacizumab","Dnajc17",0.137149213202688
"Ap4b1","Bevacizumab","Ap4b1",-0.127315402948144
"Gm49223","Bevacizumab","Gm49223",-0.139563689116955
"H2-Q6","Bevacizumab","H2-Q6",0.200412149231972
"4930579D07Rik","Bevacizumab","4930579D07Rik",0.149779268214648
"Tubgcp4","Bevacizumab","Tubgcp4",-0.129012871811556
"Gm13988","Bevacizumab","Gm13988",0.126774682660495
"Gm26620","Bevacizumab","Gm26620",0.127238080136001
"Gm29650","Bevacizumab","Gm29650",-0.145131789371562
"Rps13-ps2","Bevacizumab","Rps13-ps2",0.144126577231528
"AA413626","Bevacizumab","AA413626",-0.153373527463128
"Svip","Bevacizumab","Svip",-0.138260495444262
"Clcnka","Bevacizumab","Clcnka",-0.14753716528441
"Sdcbp2","Bevacizumab","Sdcbp2",0.146185024701066
"Gm12751","Bevacizumab","Gm12751",0.242366575371566
"Alkbh1","Bevacizumab","Alkbh1",0.128841428647358
"Gm21811","Bevacizumab","Gm21811",0.136612243475615
"Gm56010","Bevacizumab","Gm56010",-0.151296187833224
"Sorcs2","Bevacizumab","Sorcs2",0.129320584297955
"Gm37754","Bevacizumab","Gm37754",-0.130959502154043
"Gm42979","Bevacizumab","Gm42979",-0.128104181927025
"Cyp2d32-ps","Bevacizumab","Cyp2d32-ps",0.178147124628685
"Fbxl5","Bevacizumab","Fbxl5",-0.126052461667984
"Gm9385","Bevacizumab","Gm9385",0.148580194473769
"Mylpf","Bevacizumab","Mylpf",-0.147748844645141
"1810044D09Rik","Bevacizumab","1810044D09Rik",0.13148498528991
"Gm13868","Bevacizumab","Gm13868",-0.178562433554184
"Cyp26a1","Bevacizumab","Cyp26a1",0.147817059313632
"Prkaa1","Bevacizumab","Prkaa1",-0.125276940764755
"Gpr39","Bevacizumab","Gpr39",-0.125307447074546
"Ncald","Bevacizumab","Ncald",-0.130133691843376
"Gm16181","Bevacizumab","Gm16181",-0.125661917060091
"Tmem267","Bevacizumab","Tmem267",0.182703184602779
"Ifi207","Bevacizumab","Ifi207",0.13420240592946
"Gm10180","Bevacizumab","Gm10180",0.190997847464793
"Gm56731","Bevacizumab","Gm56731",0.129378122000383
"Abcb1a","Bevacizumab","Abcb1a",-0.127703263948687
"Gnmt","Bevacizumab","Gnmt",0.128333961138857
"Ube2n-ps1","Bevacizumab","Ube2n-ps1",0.145020885386254
"Gm31227","Bevacizumab","Gm31227",0.133510652785874
"Gm57184","Bevacizumab","Gm57184",-0.124819557248588
"BC064078","Bevacizumab","BC064078",0.133617364436383
"Gm12788","Bevacizumab","Gm12788",0.131789822342974
"Kif11","Bevacizumab","Kif11",-0.126448174364982
"Lum","Bevacizumab","Lum",0.168980946298877
"Gm11716","Bevacizumab","Gm11716",-0.135525317350872
"F13a1","Bevacizumab","F13a1",-0.184761038636561
"Gm6210","Bevacizumab","Gm6210",0.136099667532445
"Ier3","Bevacizumab","Ier3",0.156847871798097
"Gm45834","Bevacizumab","Gm45834",0.124819193501257
"Gm47260","Bevacizumab","Gm47260",0.131238415438075
"Csgalnact2","Bevacizumab","Csgalnact2",-0.124791298141628
"Ccdc88c","Bevacizumab","Ccdc88c",0.124579700383665
"Mir7048","Bevacizumab","Mir7048",-0.180571612478545
"Calca","Bevacizumab","Calca",-0.130570952850954
"Noxred1","Bevacizumab","Noxred1",-0.160453615723023
"Gm2011.1","Bevacizumab","Gm2011.1",0.197241435770844
"Gm10132","Bevacizumab","Gm10132",0.132112022892879
"Slc7a7","Bevacizumab","Slc7a7",-0.137087193728671
"Gm7890","Bevacizumab","Gm7890",-0.13048895642315
"Ppp1r32","Bevacizumab","Ppp1r32",-0.152806278341978
"Cyp51","Bevacizumab","Cyp51",0.152938255988164
"Gm12249","Bevacizumab","Gm12249",0.140714047299511
"Gm34150","Bevacizumab","Gm34150",0.124859562301628
"Gm15917","Bevacizumab","Gm15917",0.125214160628473
"Slc6a7","Bevacizumab","Slc6a7",0.125419945827622
"Gm34648","Bevacizumab","Gm34648",-0.191918209224672
"Gm16161","Bevacizumab","Gm16161",0.185094931910148
"Fbxo2","Bevacizumab","Fbxo2",-0.129873128112885
"Esrrg","Bevacizumab","Esrrg",-0.125897512206489
"Igkv1-110","Bevacizumab","Igkv1-110",-0.18318162747099
"Spc25","Bevacizumab","Spc25",-0.130035236469658
"4930455G09Rik","Bevacizumab","4930455G09Rik",0.124307984625171
"Gm11706","Bevacizumab","Gm11706",-0.22334830543756
"Gm49584","Bevacizumab","Gm49584",0.165756917568124
